geneSymbol,cellName,tissueType,cellType
ALPI,Proximal tubular cell,Kidney,Normal cell
SYP,Ito cell (hepatic stellate cell),Liver,Normal cell
CEACAM1,Trophoblast cell,Endometrium,Normal cell
DDX4,Primordial germ cell,Germ,Normal cell
KLF6,Epithelial cell,Corneal epithelium,Normal cell
FGF10,Cytotrophoblast,Placenta,Normal cell
"ALCAM, PTPRC, CD9, THY1",Periosteum-derived progenitor cell,Periosteum,Normal cell
"NANOG, POU5F1",Amnion epithelial cell,Amniotic membrane,Normal cell
"LHX1, MIXL1",Primitive streak cell,Primitive streak,Normal cell
CD34,Stromal vascular fraction cell,Adipose tissue,Normal cell
CD200,Bulge stem cell,Scalp,Normal cell
MMP13,Semilunar valve cell,Heart,Normal cell
"NOV, CYR61",Villous stromal cell,Chorionic villus,Normal cell
"ITGAM, CD14, ITGB2, [FCGR2A, FCGR2B, FCGR2C], CD68",Kupffer cell,Liver,Normal cell
"CDH5, PECAM1, CD34",Adipose-derived stromal cell,Adipose tissue,Normal cell
RTN4,Oligodendrocyte,Brain,Normal cell
CD44,Mesenchymal stem cell,Amniotic fluid,Normal cell
"MCAM, COL2A1",Cartilage progenitor cell,Cartilage,Normal cell
"DMP1, NA, MEPE, PHEX, SOST",Osteocyte,Bone,Normal cell
"NCAM1, RUNX2",Osteoclast,Bone,Normal cell
"MIP, GNAS, ISL1",Bipolar cell,Retina,Normal cell
GLUL,Muller cell,Retina,Normal cell
"ITGAM, [FCGR3A, FCGR3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, KLRC1",Monocyte,Peripheral blood,Normal cell
"ITGAM, [FCGR3A, FCGR3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, KLRC1",Natural killer cell,Blood,Normal cell
"BMI1, CD44, NANOG, POU5F1",Cancer stem cell,Tongue,Cancer cell
"ENG, ALCAM, ITGB1, CD44, ITGA5, NT5E, THY1",Mesenchymal stem cell,Gingiva,Normal cell
"ALDH family, ALDH1A1, CD44",Cancer stem cell,Undefined,Cancer cell
"ENG, CD14, PECAM1, CD34, CD44, NT5E, THY1",Mesenchymal stem cell,Undefined,Cancer cell
"CD14, CD19, MS4A1, CD27, [CD3D, CD3E, CD3G], CD38, CD79A, IgG family",Monocyte,Peripheral blood,Normal cell
"ICAM1, SUSD2",Endometrial stem cell,Uterus,Normal cell
SOX9,Cancer stem cell,Liver,Cancer cell
"ENG, NA",Mesenchymal stem cell,Dental pulp,Normal cell
NCAM1,Natural killer cell,Breast,Normal cell
"ENG, ITGB1, CD44, NT5E",Dental pulp stem cell,Dental pulp,Normal cell
TRO,Cancer stem cell,Liver,Cancer cell
"CD19, CD27, CD38, PTPRC, IgD family, ZAP70",B cell,Peripheral blood,Normal cell
"MCAM, THY1, KLF4, NANOG, NES, POU5F1, PDGFRB, SOX2",Adipose-derived stem cell,Adipose tissue,Normal cell
"CD34, PDGFRA",Preadipocyte progenitor cell,Adipose tissue,Normal cell
NGFR,Cancer stem cell,Undefined,Cancer cell
"ITGA2, LAG3",Regulatory T (Treg) cell,Undefined,Normal cell
ITGA6,Cancer stem cell,Stomach,Cancer cell
"CA12, CD24, FOXF1, KRT19, PAX1, PTN",Nucleus pulposus cell,Nucleus pulposus,Normal cell
"ENG, MCAM, CD34, PTPRC, NT5E, THY1, POU5F1, NA",Urine-derived stem cell,Urine,Normal cell
COL11A1,Fibroblast,Pancreas,Cancer cell
THY1,Fibroblast,Undefined,Cancer cell
"ITGAL, ITGAM, SIGLEC5, SIRPG, ITGB2, CCR5, CD2, LY9, CD28, [CD3D, CD3E, CD3G], LAIR1, SLAMF7, [FCGR2A, FCGR2B, FCGR2C], SLAMF6, CD4, SPN, PTPRC, NA, PTPRC, CD48, CD5, ICAM3, CD52, CD53, CD6, CD6, CD69, CD7, LILRB3, CD86, CD96, CCR8, HLA-DR family",Immune cell,Undefined,Cancer cell
"IL3RA, CDH5, A4GALT, TEK, INSR, TSPAN7, TNFRSF17, BMPR1A, KDR, FGFR2, CEA family, CEACAM3, NT5E, PROCR, NA",Endothelial cell,Undefined,Cancer cell
"NECTIN1, PDGFRB, ADAM17, NGFR",Fibroblast,Undefined,Cancer cell
CD209,Endothelial cell,Undefined,Normal cell
SLAMF1,T cell,Undefined,Normal cell
SLAMF1,B cell,Undefined,Normal cell
SLAMF1,Thymocyte,Undefined,Normal cell
SLAMF1,Dendritic cell,Undefined,Normal cell
FCGR3B,Neutrophil,Undefined,Normal cell
MS4A1,B cell,Undefined,Normal cell
CCR7,Lymphocyte,Undefined,Normal cell
PROM1,Cancer stem cell,Brain,Cancer cell
"CD34, PTPRC, KDR",Endothelial progenitor cell,Peripheral blood,Normal cell
"PROM1, CDH5, CD34, PTPRC",Endothelial cell,Peripheral blood,Normal cell
SBSN,Tumor endothelial cell,Kidney,Cancer cell
SBSN,Tumor endothelial cell,Colon,Cancer cell
MAGEA4,Premeiotic germ cell,Gonad,Normal cell
POU5F1,Gonocyte,Gonad,Normal cell
"PECAM1, CD34, CD44, PTPRC, NT5E, THY1, ENG",Mesenchymal stem cell,Adipose tissue,Normal cell
NA,Gonocyte,Testis,Normal cell
NA,Spermatogonial stem cell,Testis,Normal cell
NA,Sertoli cell,Testis,Normal cell
THY1,Gonocyte,Testis,Normal cell
KIT,Gonocyte,Testis,Normal cell
"B2M, ENG, ANPEP, BSG, CD151, CD276, ITGB1, CD44, CD47, CD59, NT5E, CD81, THY1, SLC3A2, HLA-ABC family, VIM",Mesenchymal stromal cell,Bone marrow,Normal cell
KIT,Pancreatic stem cell,Pancreas,Normal cell
"ITGAM, CD33, ENTPD1",Myeloid-derived suppressor cell,Peripheral blood,Normal cell
"ITGAM, ITGAX, CD14, CD1D, INSR, CD226, CD24, CD244, SIGLEC7, CD33, ENTPD1, GP1BA, CD46, ITGA1, ITGA4, ITGA5, ITGA6, CD52, CD53, ICAM1, NCAM1, SELL, SELP, CEACAM1, CEACAM6, CEACAM5, CD69, TFRC, CD81, CD84, LILRB2, LILRA2, LILRB1, LILRB4ITGAM",Myeloid-derived suppressor cell,Peripheral blood,Normal cell
"CADM1, CLCC1, HMOX1, SCAMP3, SLC16A1",Cancer stem cell,Brain,Cancer cell
"ITGB1, NT5E, THY1, ENG",Mesenchymal stem cell,Undefined,Normal cell
ALDH1A1,Cancer stem cell,Breast,Cancer cell
CCR6,CD4+ T cell,Colon,Normal cell
CCR6,CD4+ T cell,Blood,Normal cell
CPM,Anterior foregut endoderm cell,Lung,Normal cell
"CD24, CD44",Cancer stem cell,Breast,Cancer cell
"CD40, CD80, CD86, MHC class II",Dendritic cell,Bone marrow,Normal cell
"PROM1, PECAM1, CD34",Endoderm progenitor cell,Adipose tissue,Normal cell
KLRD1,Natural killer cell,Blood,Normal cell
"ACTB, ATF4, CD33, CD68, CD9, CDC42, CLDN6, COL1A2, CRABP1, CRIP1, CRYL1, CTNNB1, DLX5, EN1, F11R, NA, FOXA2, GATA5, HAMP, HMGA1, IL7R, JUN, JUNB, KCNQ4, MCAM, MMP9, NCAM1, OLIG2, PBLD, PDGFC, PF4, PUM2, SELE, SELPLG, SMAD3, SMC3, SOX13, TCF3, TNC, ",Circulating fetal cell,Blood,Normal cell
"NGFR, GFAP",Neural progenitor cell,Brain,Normal cell
PBXIP1,Astroglial progenitor cell,Embryo,Normal cell
FLT1,Cancer stem cell,Undefined,Cancer cell
"PECAM1, VWF",Endothelial cell,Skin,Normal cell
"CD34, CD38",Cancer stem cell,Undefined,Cancer cell
"PROM1, CD24, CD44",Cancer stem cell,Undefined,Cancer cell
PECAM1,Endothelial cell,Undefined,Normal cell
"ITGA1, CXCR6",Natural killer cell,Peripheral blood,Normal cell
AMACR,Paneth cell,Undefined,Cancer cell
PROM1,Cancer stem cell,Undefined,Cancer cell
"EPCAM, FZD4, KRT8, WNT4",Epithelial cell,Thymus,Normal cell
THY1,Mesenchymal stromal cell,Blood vessel,Normal cell
"PTPRC, TFRC, DLK1, PDGFRA, NA",Hepatoblast,Liver,Normal cell
"PTPRC, TFRC, DLK1, PDGFRA, NA",Mesenchymal cell,Liver,Normal cell
"PTPRC, TFRC, DLK1, KDR, NA",Endothelial cell,Liver,Normal cell
PTPRC,Hematopoietic cell,Liver,Normal cell
TFRC,Hematopoietic cell,Liver,Normal cell
NA,Hematopoietic cell,Liver,Normal cell
PROM1,Cancer stem cell,Liver,Cancer cell
CXCR4,Cancer stem cell,Undefined,Cancer cell
THY1,Mesenchymal stem cell,Synovial fluid,Normal cell
"[CD3D, CD3E, CD3G], CD4",CD4+ T cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], CD8A",CD8+ T cell,Liver,Normal cell
CD14,Monocyte,Liver,Normal cell
"ITGAX, HLA-DR family",Dendritic cell,Liver,Normal cell
"[FCGR3A, FCGR3B]",Natural killer cell,Liver,Normal cell
"CD19, MS4A1",B cell,Liver,Normal cell
CD44,Cancer stem cell,Stomach,Cancer cell
"NA, NA",Periodontal stem cell,Periodontal ligament,Normal cell
CD6,Natural regulatory T (Treg) cell,Blood,Normal cell
"IL2RA, CD6, CD4",FOXP3+ natural regulatory T (Treg) cell,Blood,Normal cell
PROM1,Cancer stem cell,Stomach,Cancer cell
CD83,Dendritic cell,Peripheral blood,Normal cell
EBF2,Beige adipogenic precursor cell,Adipose tissue,Normal cell
EBF2,Brown adipogenic precursor cell,Adipose tissue,Normal cell
CD14,Platelet,Blood,Normal cell
GP1BA,Leukocyte,Blood,Normal cell
"[CD3D, CD3E, CD3G], CD8A",Cytotoxic T cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], NCAM1",Natural killer T (NKT) cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], CD4",T helper cell,Liver,Normal cell
"[CD3D, CD3E, CD3G]",T cell,Liver,Normal cell
"[CD3D, CD3E, CD3G], PTPRC",Memory T cell,Liver,Normal cell
CD19,B cell,Liver,Normal cell
"CD14, [FCGR3A, FCGR3B]",Monocyte,Liver,Normal cell
"[CD3D, CD3E, CD3G], CD4",T helper cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], PTPRC",Memory T cell,Peripheral blood,Normal cell
"IL2RA, [CD3D, CD3E, CD3G], CD4, FOXP3",Regulatory T (Treg) cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], CD4, IFNG",T helper1 (Th1) cell,Peripheral blood,Normal cell
"[CD3D, CD3E, CD3G], CD4, IL4",T helper2 (Th2) cell,Peripheral blood,Normal cell
