geneSymbol,cellName,tissueType,cellType
ALPI,Proximal tubular cell,Kidney,Normal cell
SYP,Ito cell (hepatic stellate cell),Liver,Normal cell
CEACAM1,Trophoblast cell,Endometrium,Normal cell
DDX4,Primordial germ cell,Germ,Normal cell
KLF6,Epithelial cell,Corneal epithelium,Normal cell
FGF10,Cytotrophoblast,Placenta,Normal cell
ALCAM,Periosteum-derived progenitor cell,Periosteum,Normal cell
PTPRC,Periosteum-derived progenitor cell,Periosteum,Normal cell
CD9,Periosteum-derived progenitor cell,Periosteum,Normal cell
THY1,Periosteum-derived progenitor cell,Periosteum,Normal cell
NANOG,Amnion epithelial cell,Amniotic membrane,Normal cell
POU5F1,Amnion epithelial cell,Amniotic membrane,Normal cell
LHX1,Primitive streak cell,Primitive streak,Normal cell
MIXL1,Primitive streak cell,Primitive streak,Normal cell
CD34,Stromal vascular fraction cell,Adipose tissue,Normal cell
CD200,Bulge stem cell,Scalp,Normal cell
MMP13,Semilunar valve cell,Heart,Normal cell
NOV,Villous stromal cell,Chorionic villus,Normal cell
CYR61,Villous stromal cell,Chorionic villus,Normal cell
ITGAM,Kupffer cell,Liver,Normal cell
CD14,Kupffer cell,Liver,Normal cell
ITGB2,Kupffer cell,Liver,Normal cell
FCGR2A,Kupffer cell,Liver,Normal cell
FCGR2B,Kupffer cell,Liver,Normal cell
FCGR2C,Kupffer cell,Liver,Normal cell
CD68,Kupffer cell,Liver,Normal cell
CDH5,Adipose-derived stromal cell,Adipose tissue,Normal cell
PECAM1,Adipose-derived stromal cell,Adipose tissue,Normal cell
RTN4,Oligodendrocyte,Brain,Normal cell
CD44,Mesenchymal stem cell,Amniotic fluid,Normal cell
MCAM,Cartilage progenitor cell,Cartilage,Normal cell
COL2A1,Cartilage progenitor cell,Cartilage,Normal cell
DMP1,Osteocyte,Bone,Normal cell
NA,Osteocyte,Bone,Normal cell
MEPE,Osteocyte,Bone,Normal cell
PHEX,Osteocyte,Bone,Normal cell
SOST,Osteocyte,Bone,Normal cell
NCAM1,Osteoclast,Bone,Normal cell
RUNX2,Osteoclast,Bone,Normal cell
MIP,Bipolar cell,Retina,Normal cell
GNAS,Bipolar cell,Retina,Normal cell
ISL1,Bipolar cell,Retina,Normal cell
GLUL,Muller cell,Retina,Normal cell
FCGR3A,Monocyte,Peripheral blood,Normal cell
FCGR3B,Monocyte,Peripheral blood,Normal cell
CD19,Monocyte,Peripheral blood,Normal cell
CD2,Monocyte,Peripheral blood,Normal cell
CD3D,Monocyte,Peripheral blood,Normal cell
CD3E,Monocyte,Peripheral blood,Normal cell
CD3G,Monocyte,Peripheral blood,Normal cell
KLRD1,Monocyte,Peripheral blood,Normal cell
KLRC1,Monocyte,Peripheral blood,Normal cell
BMI1,Cancer stem cell,Tongue,Cancer cell
ENG,Mesenchymal stem cell,Gingiva,Normal cell
ITGB1,Mesenchymal stem cell,Gingiva,Normal cell
ITGA5,Mesenchymal stem cell,Gingiva,Normal cell
NT5E,Mesenchymal stem cell,Gingiva,Normal cell
ALDH family,Cancer stem cell,Undefined,Cancer cell
ALDH1A1,Cancer stem cell,Undefined,Cancer cell
MS4A1,Monocyte,Peripheral blood,Normal cell
CD27,Monocyte,Peripheral blood,Normal cell
CD38,Monocyte,Peripheral blood,Normal cell
CD79A,Monocyte,Peripheral blood,Normal cell
IgG family,Monocyte,Peripheral blood,Normal cell
ICAM1,Endometrial stem cell,Uterus,Normal cell
SUSD2,Endometrial stem cell,Uterus,Normal cell
SOX9,Cancer stem cell,Liver,Cancer cell
TRO,Cancer stem cell,Liver,Cancer cell
IgD family,B cell,Peripheral blood,Normal cell
ZAP70,B cell,Peripheral blood,Normal cell
KLF4,Adipose-derived stem cell,Adipose tissue,Normal cell
NES,Adipose-derived stem cell,Adipose tissue,Normal cell
PDGFRB,Adipose-derived stem cell,Adipose tissue,Normal cell
SOX2,Adipose-derived stem cell,Adipose tissue,Normal cell
PDGFRA,Preadipocyte progenitor cell,Adipose tissue,Normal cell
NGFR,Cancer stem cell,Undefined,Cancer cell
ITGA2,Regulatory T (Treg) cell,Undefined,Normal cell
LAG3,Regulatory T (Treg) cell,Undefined,Normal cell
ITGA6,Cancer stem cell,Stomach,Cancer cell
CA12,Nucleus pulposus cell,Nucleus pulposus,Normal cell
CD24,Nucleus pulposus cell,Nucleus pulposus,Normal cell
FOXF1,Nucleus pulposus cell,Nucleus pulposus,Normal cell
KRT19,Nucleus pulposus cell,Nucleus pulposus,Normal cell
PAX1,Nucleus pulposus cell,Nucleus pulposus,Normal cell
PTN,Nucleus pulposus cell,Nucleus pulposus,Normal cell
COL11A1,Fibroblast,Pancreas,Cancer cell
ITGAL,Immune cell,Undefined,Cancer cell
SIGLEC5,Immune cell,Undefined,Cancer cell
SIRPG,Immune cell,Undefined,Cancer cell
CCR5,Immune cell,Undefined,Cancer cell
LY9,Immune cell,Undefined,Cancer cell
CD28,Immune cell,Undefined,Cancer cell
LAIR1,Immune cell,Undefined,Cancer cell
SLAMF7,Immune cell,Undefined,Cancer cell
SLAMF6,Immune cell,Undefined,Cancer cell
CD4,Immune cell,Undefined,Cancer cell
SPN,Immune cell,Undefined,Cancer cell
CD48,Immune cell,Undefined,Cancer cell
CD5,Immune cell,Undefined,Cancer cell
ICAM3,Immune cell,Undefined,Cancer cell
CD52,Immune cell,Undefined,Cancer cell
CD53,Immune cell,Undefined,Cancer cell
CD6,Immune cell,Undefined,Cancer cell
CD69,Immune cell,Undefined,Cancer cell
CD7,Immune cell,Undefined,Cancer cell
LILRB3,Immune cell,Undefined,Cancer cell
CD86,Immune cell,Undefined,Cancer cell
CD96,Immune cell,Undefined,Cancer cell
CCR8,Immune cell,Undefined,Cancer cell
HLA-DR family,Immune cell,Undefined,Cancer cell
IL3RA,Endothelial cell,Undefined,Cancer cell
A4GALT,Endothelial cell,Undefined,Cancer cell
TEK,Endothelial cell,Undefined,Cancer cell
INSR,Endothelial cell,Undefined,Cancer cell
TSPAN7,Endothelial cell,Undefined,Cancer cell
TNFRSF17,Endothelial cell,Undefined,Cancer cell
BMPR1A,Endothelial cell,Undefined,Cancer cell
KDR,Endothelial cell,Undefined,Cancer cell
FGFR2,Endothelial cell,Undefined,Cancer cell
CEA family,Endothelial cell,Undefined,Cancer cell
CEACAM3,Endothelial cell,Undefined,Cancer cell
PROCR,Endothelial cell,Undefined,Cancer cell
NECTIN1,Fibroblast,Undefined,Cancer cell
ADAM17,Fibroblast,Undefined,Cancer cell
CD209,Endothelial cell,Undefined,Normal cell
SLAMF1,T cell,Undefined,Normal cell
CCR7,Lymphocyte,Undefined,Normal cell
PROM1,Cancer stem cell,Brain,Cancer cell
SBSN,Tumor endothelial cell,Kidney,Cancer cell
MAGEA4,Premeiotic germ cell,Gonad,Normal cell
KIT,Gonocyte,Testis,Normal cell
B2M,Mesenchymal stromal cell,Bone marrow,Normal cell
ANPEP,Mesenchymal stromal cell,Bone marrow,Normal cell
BSG,Mesenchymal stromal cell,Bone marrow,Normal cell
CD151,Mesenchymal stromal cell,Bone marrow,Normal cell
CD276,Mesenchymal stromal cell,Bone marrow,Normal cell
CD47,Mesenchymal stromal cell,Bone marrow,Normal cell
CD59,Mesenchymal stromal cell,Bone marrow,Normal cell
CD81,Mesenchymal stromal cell,Bone marrow,Normal cell
SLC3A2,Mesenchymal stromal cell,Bone marrow,Normal cell
HLA-ABC family,Mesenchymal stromal cell,Bone marrow,Normal cell
VIM,Mesenchymal stromal cell,Bone marrow,Normal cell
CD33,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
ENTPD1,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
ITGAX,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CD1D,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CD226,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CD244,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
SIGLEC7,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
GP1BA,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CD46,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
ITGA1,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
ITGA4,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
SELL,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
SELP,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CEACAM6,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CEACAM5,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
TFRC,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CD84,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
LILRB2,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
LILRA2,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
LILRB1,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
LILRB4ITGAM,Myeloid-derived suppressor cell,Peripheral blood,Normal cell
CADM1,Cancer stem cell,Brain,Cancer cell
CLCC1,Cancer stem cell,Brain,Cancer cell
HMOX1,Cancer stem cell,Brain,Cancer cell
SCAMP3,Cancer stem cell,Brain,Cancer cell
SLC16A1,Cancer stem cell,Brain,Cancer cell
CCR6,CD4+ T cell,Colon,Normal cell
CPM,Anterior foregut endoderm cell,Lung,Normal cell
CD40,Dendritic cell,Bone marrow,Normal cell
CD80,Dendritic cell,Bone marrow,Normal cell
MHC class II,Dendritic cell,Bone marrow,Normal cell
ACTB,Circulating fetal cell,Blood,Normal cell
ATF4,Circulating fetal cell,Blood,Normal cell
CDC42,Circulating fetal cell,Blood,Normal cell
CLDN6,Circulating fetal cell,Blood,Normal cell
COL1A2,Circulating fetal cell,Blood,Normal cell
CRABP1,Circulating fetal cell,Blood,Normal cell
CRIP1,Circulating fetal cell,Blood,Normal cell
CRYL1,Circulating fetal cell,Blood,Normal cell
CTNNB1,Circulating fetal cell,Blood,Normal cell
DLX5,Circulating fetal cell,Blood,Normal cell
EN1,Circulating fetal cell,Blood,Normal cell
F11R,Circulating fetal cell,Blood,Normal cell
FOXA2,Circulating fetal cell,Blood,Normal cell
GATA5,Circulating fetal cell,Blood,Normal cell
HAMP,Circulating fetal cell,Blood,Normal cell
HMGA1,Circulating fetal cell,Blood,Normal cell
IL7R,Circulating fetal cell,Blood,Normal cell
JUN,Circulating fetal cell,Blood,Normal cell
JUNB,Circulating fetal cell,Blood,Normal cell
KCNQ4,Circulating fetal cell,Blood,Normal cell
MMP9,Circulating fetal cell,Blood,Normal cell
